count;ultrasonic;laser
1;523;96
2;523;97
3;523;97
4;517;96
5;517;96
6;517;96
7;517;96
8;523;96
9;523;96
10;523;93
11;523;93
12;517;92
13;517;92
14;517;94
15;517;94
16;523;97
17;523;97
18;523;94
19;523;94
20;517;95
21;517;95
22;517;95
23;517;95
24;523;92
25;523;92
26;523;93
27;523;93
28;517;94
29;517;94
30;517;95
31;517;95
32;523;94
33;523;94
34;523;94
35;523;94
36;517;92
37;517;92
38;517;95
39;517;95
40;523;96
41;547;187
42;547;187
43;1025;186
44;1025;186
45;997;188
46;997;188
47;998;188
48;998;188
49;998;187
50;998;187
51;998;189
52;998;189
53;997;185
54;997;185
55;998;190
56;998;190
57;998;187
58;998;187
59;998;188
60;998;188
61;998;188
62;998;188
63;998;190
64;998;190
65;998;186
66;998;186
67;997;189
68;997;189
69;998;187
70;998;187
71;998;189
72;998;189
73;998;190
74;998;190
75;998;188
76;998;188
77;998;187
78;998;187
79;998;188
80;998;188
81;1613;345
82;1613;345
83;1810;354
84;1810;354
85;1810;340
86;1810;340
87;1810;349
88;1810;349
89;1810;348
90;1810;348
91;1810;349
92;1810;349
93;1810;349
94;1810;349
95;1810;348
96;1810;348
97;1816;349
98;1816;349
99;1816;347
100;1816;347
101;1810;351
102;1810;351
103;1810;348
104;1810;348
105;1810;348
106;1810;348
107;1810;358
108;1810;358
109;1810;355
110;1810;355
111;1809;348
112;1809;348
113;1810;353
114;1810;353
115;1816;343
116;1816;343
117;1816;352
118;1816;352
119;1810;347
120;1810;347
121;2004;412
122;2004;412
123;2114;416
124;2114;416
125;2108;407
126;2108;407
127;2115;424
128;2115;424
129;2115;407
130;2115;407
131;2141;404
132;2141;404
133;2115;407
134;2115;407
135;2109;412
136;2109;412
137;2114;409
138;2114;409
139;2115;409
140;2115;409
141;2115;409
142;2115;409
143;2115;416
144;2115;416
145;2115;416
146;2115;416
147;2114;412
148;2114;412
149;2115;404
150;2115;404
151;2115;411
152;2115;411
153;2114;409
154;2114;409
155;2115;411
156;2115;411
157;2115;405
158;2115;405
159;2114;414
160;2114;414
161;-11290;589
162;-11290;589
163;4026;612
164;4026;612
165;-9598;594
166;-9598;594
167;3933;618
168;3933;618
169;6301;599
170;6301;599
171;-9175;601
172;-9175;601
173;4050;624
174;4050;624
175;6375;623
176;6375;623
177;-11259;618
178;-11259;618
179;4125;602
180;4125;602
181;20394;622
182;20394;622
183;6377;615
184;6377;615
185;7655;584
186;7655;584
187;6371;585
188;6371;585
189;-10563;603
190;-10563;603
191;-10103;561
192;-10103;561
193;3262;609
194;3262;609
195;-11085;582
196;-11085;582
197;4026;613
198;4026;613
199;3990;591
200;3990;591
201;-10109;96
202;499;96
203;499;96
204;-9473;100
205;-9473;100
206;499;98
207;499;98
208;-9979;97
209;-9979;97
210;499;99
211;499;99
212;-9929;97
213;-9929;97
214;493;96
215;493;96
216;-9886;97
217;-9886;97
218;499;99
219;499;99
220;-8467;94
221;-8467;94
222;499;99
223;499;99
224;-9030;95
225;-9030;95
226;499;99
227;499;99
228;-9135;95
229;-9135;95
230;493;95
231;493;95
232;6110;98
233;6110;98
234;-9070;100
235;-9070;100
236;499;97
237;499;97
238;-9614;98
239;-9614;98
240;1054;204
241;1054;204
242;1099;204
243;1099;204
244;1099;201
245;1099;201
246;1093;202
247;1093;202
248;1099;203
249;1099;203
250;1099;205
251;1099;205
252;1099;200
253;1099;200
254;1099;203
255;1099;203
256;1093;203
257;1093;203
258;1099;200
259;1099;200
260;1099;203
261;1099;203
262;1099;204
263;1099;204
264;1099;205
265;1099;205
266;1099;204
267;1099;204
268;1100;205
269;1100;205
270;1099;204
271;1099;204
272;1099;204
273;1099;204
274;1099;203
275;1099;203
276;1099;205
277;1099;205
278;1099;202
279;1099;202
280;1138;313
281;1138;313
282;1765;320
283;1765;320
284;1983;320
285;1983;320
286;1954;316
287;1954;316
288;2081;334
289;2081;334
290;1389;331
291;1389;331
292;2100;332
293;2100;332
294;2100;336
295;2100;336
296;2100;331
297;2100;331
298;2100;331
299;2100;331
300;2100;332
301;2100;332
302;2073;330
303;2073;330
304;2073;333
305;2073;333
306;2067;330
307;2067;330
308;2073;333
309;2073;333
